depth,vp,vs,density
-0.0,380.0,190.0,1000.0
-0.5,380.0,190.0,1000.0
-1.05,380.0,190.0,1000.0
-1.6500000000000001,380.0,190.0,1000.0
-2.3000000000000003,140.0,55.0,1000.0
-3.0000000000000004,140.0,55.0,1000.0
-3.750000000000001,140.0,55.0,1000.0
-4.550000000000001,140.0,55.0,1000.0
-5.400000000000001,140.0,55.0,1000.0
-6.300000000000002,140.0,55.0,1000.0
-7.250000000000002,140.0,55.0,1000.0
-8.250000000000002,140.0,55.0,1000.0
-9.300000000000002,140.0,55.0,1000.0
-10.400000000000002,140.0,55.0,1000.0
-11.550000000000002,140.0,55.0,1000.0
-12.750000000000002,140.0,55.0,1000.0
-14.000000000000002,140.0,55.0,1000.0
-15.300000000000002,370.0,110.0,1000.0
-16.650000000000006,370.0,110.0,1000.0
-18.050000000000008,370.0,110.0,1000.0
